Sample Number,Time (s),D0,D1,D2,D3,D4,D5,,
382,-0.618999998,0,0,0,0,0,0,,
383,-0.617999998,0,0,0,0,0,0,,
384,-0.616999998,0,0,0,0,0,0,,
385,-0.615999998,0,0,0,0,0,0,,
386,-0.614999998,0,0,0,0,0,0,,
387,-0.613999998,0,0,0,0,0,0,,
388,-0.612999998,0,0,0,0,0,0,,
389,-0.611999998,0,0,0,0,0,0,,
390,-0.610999998,0,0,0,0,0,0,,
391,-0.609999998,0,0,0,0,0,0,,
392,-0.608999998,0,0,0,0,0,0,,
393,-0.607999998,0,0,0,0,0,0,,
394,-0.606999998,0,0,0,0,0,0,,
395,-0.605999998,0,0,0,0,0,0,,
396,-0.604999998,0,0,0,0,0,0,,
397,-0.603999998,0,0,0,0,0,0,,
398,-0.602999998,0,0,0,0,0,0,,
399,-0.601999998,0,0,0,0,0,0,,
400,-0.600999998,0,0,0,0,0,0,,
401,-0.599999998,1,0,0,0,0,0,,
402,-0.598999998,1,0,0,0,0,0,,
403,-0.597999998,1,0,0,0,0,0,,
404,-0.596999998,1,0,0,0,0,0,,
405,-0.595999998,1,1,0,0,0,0,,
406,-0.594999998,1,1,0,0,0,0,,
407,-0.593999998,1,1,0,0,0,0,,
408,-0.592999998,1,1,0,0,0,0,,
409,-0.591999998,1,1,0,0,0,0,,
410,-0.590999998,1,1,0,0,0,0,,
411,-0.589999998,1,1,0,0,0,0,,
412,-0.588999998,0,1,0,0,0,0,,
413,-0.587999998,0,1,0,0,0,0,,
414,-0.586999998,0,1,0,0,0,0,,
415,-0.585999998,0,1,0,0,0,0,,
416,-0.584999998,0,1,0,0,0,0,,
417,-0.583999998,0,0,0,0,0,0,,
418,-0.582999998,0,0,0,0,0,0,,
419,-0.581999998,0,0,0,0,0,0,,
420,-0.580999998,0,0,0,0,0,0,,
421,-0.579999998,0,0,0,0,0,0,,
422,-0.578999998,0,0,0,0,0,0,,
423,-0.577999998,0,0,0,0,0,0,,
424,-0.576999998,0,0,0,0,0,0,,
425,-0.575999998,0,0,0,0,0,0,,
426,-0.574999998,0,0,0,0,0,0,,
427,-0.573999998,0,0,0,0,0,0,,
428,-0.572999998,0,0,0,0,0,0,,
429,-0.571999998,0,0,0,0,0,0,,
430,-0.570999998,0,0,0,0,0,0,,
431,-0.569999998,0,0,0,0,0,0,,
432,-0.568999998,0,0,0,0,0,0,,
433,-0.567999998,0,0,0,1,0,0,,
434,-0.566999998,0,0,0,1,0,0,,
435,-0.565999998,0,0,0,1,0,1,,
436,-0.564999998,0,0,0,0,0,1,,
437,-0.563999998,0,0,0,0,0,1,,
438,-0.562999998,0,0,1,0,0,0,,
439,-0.561999998,0,0,1,0,0,0,,
440,-0.560999998,0,0,1,0,1,0,,
441,-0.559999998,0,0,0,0,1,0,,
442,-0.558999998,0,0,0,0,1,0,,
443,-0.557999998,0,0,0,0,0,0,,
444,-0.556999998,0,0,0,0,0,0,,
445,-0.555999998,0,0,0,0,0,0,,
446,-0.554999998,0,0,0,0,0,0,,
447,-0.553999998,0,0,0,0,0,0,,
448,-0.552999998,0,0,0,0,0,0,,
449,-0.551999998,0,0,0,0,0,0,,
450,-0.550999998,0,0,0,0,0,0,,
451,-0.549999998,0,0,0,0,0,0,,
452,-0.548999998,0,0,0,0,0,0,,
453,-0.547999998,0,0,0,0,0,0,,
454,-0.546999998,0,0,0,0,0,0,,
455,-0.545999998,0,0,0,0,0,0,,
456,-0.544999998,0,0,0,0,0,0,,
457,-0.543999998,0,0,0,0,0,0,,
458,-0.542999998,0,0,0,0,0,0,,
459,-0.541999998,0,0,0,0,0,0,,
460,-0.540999998,0,0,0,0,0,0,,
461,-0.539999998,0,0,0,0,0,0,,
462,-0.538999998,0,0,0,0,0,0,,
463,-0.537999998,0,0,0,0,0,0,,
464,-0.536999998,0,0,0,0,0,0,,
465,-0.535999998,0,0,0,0,0,0,,
466,-0.534999998,0,0,0,0,0,0,,
467,-0.533999998,0,0,0,0,0,0,,
468,-0.532999998,0,0,0,0,0,0,,
469,-0.531999998,0,0,0,0,0,0,,
470,-0.530999998,0,0,0,0,0,0,,
471,-0.529999998,0,0,0,0,0,0,,
472,-0.528999998,0,0,0,0,0,0,,
473,-0.527999998,0,0,0,0,0,0,,
474,-0.526999998,0,0,0,0,0,0,,
475,-0.525999998,0,0,0,0,0,0,,
476,-0.524999998,0,0,0,0,0,0,,
477,-0.523999998,0,0,0,0,0,0,,
478,-0.522999998,0,0,0,0,0,0,,
479,-0.521999998,0,0,0,0,0,0,,
480,-0.520999998,0,0,0,0,0,0,,
481,-0.519999998,0,0,0,0,0,0,,
482,-0.518999998,0,0,0,0,0,0,,
483,-0.517999998,0,0,0,0,0,0,,
484,-0.516999998,0,0,0,0,0,0,,
485,-0.515999998,0,0,0,0,0,0,,
486,-0.514999998,0,0,0,0,0,0,,
487,-0.513999998,0,0,0,0,0,0,,
488,-0.512999998,0,0,0,0,0,0,,
489,-0.511999998,0,0,0,0,0,0,,
490,-0.510999998,0,0,0,0,0,0,,
491,-0.509999998,0,0,0,0,0,0,,
492,-0.508999998,0,0,0,0,0,0,,
493,-0.507999998,0,0,0,0,0,0,,
494,-0.506999998,0,0,0,0,0,0,,
495,-0.505999998,0,0,0,0,0,0,,
496,-0.504999998,0,0,0,0,0,0,,
497,-0.503999998,0,0,0,0,0,0,,
498,-0.502999998,0,0,0,0,0,0,,
499,-0.501999998,0,0,0,0,0,0,,
500,-0.500999998,0,0,0,0,0,0,,
501,-0.499999998,1,0,0,0,0,0,,
502,-0.498999998,1,0,0,0,0,0,,
503,-0.497999998,1,0,0,0,0,0,,
504,-0.496999998,1,0,0,0,0,0,,
505,-0.495999998,1,1,0,0,0,0,,
506,-0.494999998,1,1,0,0,0,0,,
507,-0.493999998,1,1,0,0,0,0,,
508,-0.492999998,1,1,0,0,0,0,,
509,-0.491999998,1,1,0,0,0,0,,
510,-0.490999998,1,1,0,0,0,0,,
511,-0.489999998,1,1,0,0,0,0,,
512,-0.488999998,1,1,0,0,0,0,,
513,-0.487999998,0,1,0,0,0,0,,
514,-0.486999998,0,1,0,0,0,0,,
515,-0.485999998,0,1,0,0,0,0,,
516,-0.484999998,0,1,0,0,0,0,,
517,-0.483999998,0,0,0,0,0,0,,
518,-0.482999998,0,0,0,0,0,0,,
519,-0.481999998,0,0,0,0,0,0,,
520,-0.480999998,0,0,0,0,0,0,,
521,-0.479999998,0,0,0,0,0,0,,
522,-0.478999998,0,0,0,0,0,0,,
523,-0.477999998,0,0,0,1,0,0,,
524,-0.476999998,0,0,0,1,0,0,,
525,-0.475999998,0,0,0,1,0,1,,
526,-0.474999998,0,0,0,0,0,1,,
527,-0.473999998,0,0,0,0,0,1,,
528,-0.472999998,0,0,1,0,0,0,,
529,-0.471999998,0,0,1,0,0,0,,
530,-0.470999998,0,0,1,0,1,0,,
531,-0.469999998,0,0,1,0,1,0,,
532,-0.468999998,0,0,0,0,1,0,,
533,-0.467999998,0,0,0,0,1,0,,
534,-0.466999998,0,0,0,0,0,0,,
535,-0.465999998,0,0,0,0,0,0,,
536,-0.464999998,0,0,0,0,0,0,,
537,-0.463999998,0,0,0,0,0,0,,
538,-0.462999998,0,0,0,0,0,0,,
539,-0.461999998,0,0,0,0,0,0,,
540,-0.460999998,0,0,0,0,0,0,,
541,-0.459999998,0,0,0,0,0,0,,
542,-0.458999998,0,0,0,0,0,0,,
543,-0.457999998,0,0,0,0,0,0,,
544,-0.456999998,0,0,0,0,0,0,,
545,-0.455999998,0,0,0,0,0,0,,
546,-0.454999998,0,0,0,0,0,0,,
547,-0.453999998,0,0,0,0,0,0,,
548,-0.452999998,0,0,0,0,0,0,,
549,-0.451999998,0,0,0,0,0,0,,
550,-0.450999998,0,0,0,0,0,0,,
551,-0.449999998,0,0,0,0,0,0,,
552,-0.448999998,0,0,0,0,0,0,,
553,-0.447999998,0,0,0,0,0,0,,
554,-0.446999998,0,0,0,0,0,0,,
555,-0.445999998,0,0,0,0,0,0,,
556,-0.444999998,0,0,0,0,0,0,,
557,-0.443999998,0,0,0,0,0,0,,
558,-0.442999998,0,0,0,0,0,0,,
559,-0.441999998,0,0,0,0,0,0,,
560,-0.440999998,0,0,0,0,0,0,,
561,-0.439999998,0,0,0,0,0,0,,
562,-0.438999998,0,0,0,0,0,0,,
563,-0.437999998,0,0,0,0,0,0,,
564,-0.436999998,0,0,0,0,0,0,,
565,-0.435999998,0,0,0,0,0,0,,
566,-0.434999998,0,0,0,0,0,0,,
567,-0.433999998,0,0,0,0,0,0,,
568,-0.432999998,0,0,0,0,0,0,,
569,-0.431999998,0,0,0,0,0,0,,
570,-0.430999998,0,0,0,0,0,0,,
571,-0.429999998,0,0,0,0,0,0,,
572,-0.428999998,0,0,0,0,0,0,,
573,-0.427999998,0,0,0,0,0,0,,
574,-0.426999998,0,0,0,0,0,0,,
575,-0.425999998,0,0,0,0,0,0,,
576,-0.424999998,0,0,0,0,0,0,,
577,-0.423999998,0,0,0,0,0,0,,
578,-0.422999998,0,0,0,0,0,0,,
579,-0.421999998,0,0,0,0,0,0,,
580,-0.420999998,0,0,0,0,0,0,,
581,-0.419999998,0,0,0,0,0,0,,
582,-0.418999998,0,0,0,0,0,0,,
583,-0.417999998,0,0,0,0,0,0,,
584,-0.416999998,0,0,0,0,0,0,,
585,-0.415999998,0,0,0,0,0,0,,
586,-0.414999998,0,0,0,0,0,0,,
587,-0.413999998,0,0,0,0,0,0,,
588,-0.412999998,0,0,0,0,0,0,,
589,-0.411999998,0,0,0,0,0,0,,
590,-0.410999998,0,0,0,0,0,0,,
591,-0.409999998,0,0,0,0,0,0,,
592,-0.408999998,0,0,0,0,0,0,,
593,-0.407999998,0,0,0,0,0,0,,
594,-0.406999998,0,0,0,0,0,0,,
595,-0.405999998,0,0,0,0,0,0,,
596,-0.404999998,0,0,0,0,0,0,,
597,-0.403999998,0,0,0,0,0,0,,
598,-0.402999998,0,0,0,0,0,0,,
599,-0.401999998,0,0,0,0,0,0,,
600,-0.400999998,0,0,0,0,0,0,,
601,-0.399999998,1,0,0,0,0,0,,
602,-0.398999998,1,0,0,0,0,0,,
603,-0.397999998,1,0,0,0,0,0,,
